prompt,prompt_length,token_rarity,num_objects,abstractness,attribute_density,spatial_relations,action_verbs,named_entities
a small lizard in a plastic container,7,1,1,2,2,1,0,0
a black joystick on a white surface,7,1,1,2,2,1,0,0
a pen and a screwdriver,5,1,0,3,0,0,0,0
a keyboard with letters on it,6,0,2,2,0,2,0,0
a brown animal standing on a branch in a tree,10,0,2,3,1,2,1,0
a man is playing a gong on a gong stand,10,2,3,4,0,1,1,0
a military vehicle is parked in the dirt,8,1,1,3,1,1,1,0
a white dog standing on its hind legs,8,1,1,2,1,1,1,0
a wooden stick with a wooden handle and a wooden blade,11,0,1,5,3,1,0,0
a pay phone in a train station,7,0,1,2,0,1,0,0
the satellite dish is white,5,0,1,2,1,0,0,0
a hyena standing in the grass,6,1,1,2,0,1,1,0
a large ship in the water,6,0,1,2,1,1,0,0
a green and yellow teapot with flowers on it,9,1,2,3,2,2,0,0
a white container filled with mashed potatoes,7,1,1,2,2,1,2,0
a laptop computer sitting on a table next to a cd,11,0,2,4,0,3,1,0
a microsoft saturn game controller,5,1,0,1,0,0,0,1
copper screws and screws with different sizes,7,2,1,3,1,1,0,0
four brushes with red handles sitting on a wooden shelf,10,2,3,2,2,2,1,0
a man sitting at a desk,6,0,1,3,0,1,1,0
the bench is in the middle of a stone wall,10,0,3,5,0,1,0,0
a ferret looking up at the camera,7,1,1,3,0,2,1,0
a black volkswagen beetle convertible,5,3,1,1,2,0,0,0
a typewriter on a table,5,1,1,2,0,1,0,0
a large blue and red cargo ship,7,0,0,2,3,0,0,0
a group of people playing volleyball in a gym,9,1,3,3,0,1,1,0
a wooden fence,3,0,0,1,1,0,0,0
a printer sitting on top of a table,8,1,2,3,0,2,1,0
a website design for a tire shop,7,0,1,3,0,0,0,0
a baby's crib with a blanket and a baby,10,1,1,5,0,1,0,0
a yellow and black fish with blue eyes,8,0,1,3,3,1,0,0
a pay phone with a cord attached to it,9,1,2,4,0,2,1,0
a black metal screw with a nut on top,9,0,2,3,1,2,0,0
a magazine spread with an article about web wise,9,0,3,5,0,1,1,0
a wolf walking on the ground near a pine cone,10,1,2,3,1,2,1,0
yayo golf ball holder,4,1,0,0,0,0,0,1
a portable radio with a speaker and a microphone,9,2,1,5,1,1,0,0
a brown leather messenger bag with a strap,8,2,1,3,1,1,0,1
a dog standing on a wooden deck,7,0,1,2,1,1,1,0
two metal clamps with black handles on pink background,9,2,2,1,2,2,0,0
the porsche 911 cabriolet is driving down the road,9,3,2,3,0,1,1,0
a military vehicle is parked on a street,8,1,1,3,1,1,1,0
wooden croquet set with wooden mallets and balls,8,2,1,2,2,1,1,0
a woman doing a handstand on a balance beam,9,1,2,3,0,1,1,0
a purple and yellow mop with a handle,8,1,1,4,2,1,0,0
a group of people playing volleyball on a beach,9,1,3,3,0,1,1,0
a large shark swimming in the ocean with a group of fish,12,0,3,5,1,2,0,0
a restaurant with a lot of people in it,9,0,3,4,0,2,0,0
a restaurant with white chairs and tables,7,0,1,3,1,1,0,0
a group of monkeys walking down a dirt road,9,1,3,3,0,1,1,0
a large black spider sitting on the ground,8,0,1,2,2,1,1,0
a hand holding a stick,5,0,1,2,0,0,1,0
a bathroom sink with a white oval shape,8,1,2,3,1,1,1,0
a small fish with a long tail in a plastic container,11,0,2,4,3,2,0,0
a meerkat stands on a rock in front of a wall,11,1,4,4,0,3,1,0
a family of cheetahs in the grassy plains,8,3,2,3,1,1,0,0
a butterfly is sitting on a yellow flower,8,1,2,3,1,1,1,0
a brown rabbit running through a field,7,0,1,2,1,1,1,0
a cat is sitting in a tree branch,8,0,2,3,0,1,1,0
a knife with a leather handle and a metal blade,10,0,1,5,0,1,0,0
two baboons are hugging each other,6,2,2,3,1,0,1,0
a person holding a small compass in their hand,9,1,2,2,1,1,1,0
a badger eating some leaves in the grass,8,1,2,3,0,1,1,0
a man holding a small child on a playground pole,10,1,2,3,2,1,1,0
a lizard with its back to the camera,8,1,2,5,0,2,0,0
a person using a blue plastic can opener to open a can,12,1,2,4,1,1,3,0
a small electronic device with a manual and a box,10,0,1,5,2,1,0,0
a blue and white floral pattern on a white cloth,10,1,1,3,4,1,0,0
a black apron with a black strap and a black handle,11,2,1,5,3,1,0,0
a yellow and black spider with a web in the grass,11,0,2,5,2,2,0,0
a living room with a fireplace and a television,9,1,1,5,0,1,0,0
a spider is sitting on top of some leaves,9,0,3,4,0,2,1,0
a black and brown dog sitting in the grass,9,0,1,3,2,1,1,0
a bug with a yellow body and a white head,10,0,1,5,2,1,0,0
a black bear walking across a gravel road,8,1,2,2,1,1,1,0
a mortar and pestle with herbs and spices,8,4,1,4,0,1,1,0
a woman in white soccer uniform kicking a soccer ball,10,0,2,2,1,1,1,0
a three panel screen with oriental paintings on it,9,1,2,2,1,2,0,0
a white mortar and pestle on a blue background,9,2,1,3,2,1,0,0
an illustration of an otter in the wild,8,2,2,5,1,1,0,0
a green tractor with a large machine on the side,10,1,2,4,2,2,0,0
a large dam with water flowing over it,8,0,2,4,1,2,1,0
a black and blue device,5,0,0,2,2,0,0,0
a red truck with a large red bucket on it,10,0,2,3,3,2,0,0
a black padlock with keys and a key,8,1,1,4,2,1,0,0
a spider on the side of a white wall,9,0,2,4,1,1,0,0
a silver compass on a blue background,7,1,1,2,2,1,0,0
a black shaggy dog standing on the road,8,1,1,2,2,1,1,0
a large lobster being held by someone on a boat,10,1,2,4,1,2,1,0
a pair of black and gold sandals on a wooden floor,11,1,2,4,2,1,0,0
a man is sitting in the back of an orange sports car,12,0,3,5,1,1,1,0
four cheetahs on a mound,5,2,1,1,0,1,0,0
a knitted cape with fringes on the hood,8,2,2,3,1,2,1,0
a group of people standing around a dog with a ribbon,11,1,3,6,0,2,1,0
a mouse pad with a white mouse on it,9,0,2,3,1,2,0,0
a large entertainment center with a television and a bookcase,10,1,1,5,1,1,0,0
a small dog is standing on a leash,8,1,2,3,1,1,1,0
a monkey with big eyes looking at the camera,9,0,2,4,1,2,1,0
a man talking on a cell phone in front of a building,12,0,3,4,0,3,1,0
two salt and pepper shakers with the words season your words,11,1,3,4,0,1,1,0
a ferret sitting in the grass with flowers,8,1,2,3,0,2,1,0
a lemur sitting on top of a tree,8,1,2,3,1,2,0,0
a revolver with a wooden grip and orange grip,9,1,1,4,1,1,0,1
a wooden entertainment center,4,0,0,1,1,0,0,0
a military compass with a pouch on a wooden table,10,2,2,4,2,2,0,0
a conch shell on a black surface,7,1,1,2,1,1,0,0
a variety of sea creatures and other items arranged on a white surface,13,0,2,6,2,1,1,0
a woman doing a handstand on a balance beam,9,1,2,3,0,1,1,0
a brown spider with long legs and a long tail,10,0,1,4,3,1,0,0
a bottle of ink and a pen in a box,10,0,2,5,0,1,0,0
a small clock in a plastic bag with a green strap,11,1,2,4,3,2,0,0
a blue and white iron on a white surface,9,0,1,3,3,1,0,0
a small dog sitting on the grass with its tongue out,11,0,2,4,1,3,1,0
an old typewriter sitting on a table,7,1,1,2,1,1,1,0
a coffee cup on a desk,6,0,1,2,0,1,0,0
a black and yellow fish is on a coral reef,10,2,2,4,3,1,0,0
a blue electric iron on a carpet with a cord,10,1,2,4,2,2,0,0
a spider with a white egg on its back,9,0,2,4,1,2,0,0
a bottle of whiskey with the name robers whiskey on it,11,3,4,4,0,2,1,0
a white dog standing on a table with a person holding a leash,13,1,3,5,1,2,2,0
a blue helmet with a black visor,7,1,1,3,2,1,0,0
a large tortoise with its head sticking out of the ground,11,1,2,5,1,2,1,0
a copper and brass fire screen with a peacock design,10,1,1,4,0,1,0,0
a baby's bassinet with pink and white trim,9,2,1,3,2,1,0,0
a set of four screws with a metal nut,9,1,2,4,0,1,0,0
an old wooden abacus with many different types of beads,10,2,2,5,4,1,0,0
a wooden box with a bunch of wooden beads,9,1,2,4,2,1,0,0
a woman in a black leotard doing a gymnastics trick,10,2,2,3,1,1,1,0
a laptop computer sitting on a stand with a screen,10,0,2,4,0,2,1,0
a polar bear is standing on a rock,8,1,2,3,1,1,1,0
a large metal bowl with a red and blue design,10,0,1,4,3,1,0,0
a group of green and white plastic tubes with the words lyl - 8c,13,4,2,5,2,1,0,0
a woman in a graduation gown and cap giving the thumbs up,12,2,1,5,0,2,2,0
the back view of a woman wearing a black abaya with peacock feathers,13,3,3,5,2,1,1,0
corn on the cob,4,1,1,1,0,1,0,0
a modern bathroom faucet with a chrome finish,8,2,2,4,1,1,0,0
tennis ball on the court,5,0,1,1,0,1,0,0
a man in a vest standing in front of a garage,11,1,3,4,1,3,0,0
a small brown dog sitting in the grass,8,0,1,2,2,1,1,0
a white gibbon is sitting on a branch,8,1,2,3,1,1,1,0
a bathroom with two sinks and two mirrors,8,2,1,3,0,1,0,0
a red scooter with chinese writing on it,8,1,2,2,2,2,0,0
a blue scorpion on a black background,7,1,1,2,2,1,0,0
two black bears playing in the grass,7,0,1,1,1,1,1,0
two dogs standing in front of a crowd,8,0,2,2,0,2,1,0
a brown dog sitting on a green field,8,0,1,2,2,1,1,0
two flies sitting on a green leaf,7,0,1,1,1,1,1,0
a bug with long legs and a long antennae,9,1,1,4,2,1,0,0
a small animal is standing on top of a log,10,0,3,4,1,2,1,0
a brown bear walking through the woods,7,0,1,2,1,1,1,0
green barrels stacked on pallets,5,3,1,0,1,1,1,0
a large container ship in the water,7,0,1,2,1,1,0,0
a monkey is sitting in a tree,7,0,2,3,0,1,1,0
a small black dog,4,0,0,1,2,0,0,0
a fan on the ground with a black cover,9,0,2,4,1,2,0,0
a black and white necklace with a silver skull and crossbones,11,2,1,5,2,1,0,0
a digital camera with a strap attached to it,9,1,2,4,1,2,1,0
a black typewriter sitting on a table,7,1,1,2,1,1,1,0
a pair of yellow kayaks,5,1,1,2,1,0,0,0
christmas stockings decorated with icing and decorated with green and red icing,12,5,1,4,2,2,3,0
a polar bear with sunglasses,5,2,1,2,1,1,0,0
a wet dog standing in the water,7,0,1,2,1,1,1,0
two lemurs are sitting on a log,7,1,2,2,0,1,1,0
a white pot with a handle on a table,9,0,2,4,1,2,0,0
a wooden bookcase with three shelves in a garage,9,2,2,3,1,2,0,0
a white and blue printer with a blue and white cover,11,1,1,5,4,1,0,0
a shaggy dog running through the dirt,7,1,1,2,1,1,1,0
a monkey sitting on the ground eating something,8,0,2,3,0,1,2,0
a young girl in purple gymnastics outfit on the balance beam,11,1,2,2,2,2,0,0
two women in a dance studio practicing ballet moves,9,2,2,1,0,1,1,0
a lizard with long legs and a yellow body,9,1,1,4,2,1,0,0
a man is playing drums with a yellow stick,9,1,3,4,1,1,1,0
a black and yellow fly on a leaf,8,0,1,3,2,1,0,0
a spider with a red eye on its head,9,0,2,4,1,2,0,0
porsche 993 turbo cabriolet,4,4,0,0,0,0,0,0
two dogs sitting on the grass,6,0,1,1,0,1,1,0
"a basket with coffee, chocolate and other items",8,1,1,4,1,1,0,0
a woman on a balance beam in a competition,9,0,2,3,0,2,0,0
four different types of screws on a white surface,9,1,2,3,2,1,0,0
two yellow flowers with dark brown centers are shown,9,0,1,2,3,1,1,0
a man with crutches walking down a hallway,8,2,2,3,0,2,1,0
a woman in black holding a large bassoon,8,1,1,2,2,1,1,0
a polaroid camera with a box next to it,9,1,2,4,0,3,0,0
two polaroid cameras,3,1,0,0,0,0,0,0
a white speaker sitting on a wooden deck,8,0,1,2,2,1,1,0
a spider with a large web on its back,9,0,2,4,1,2,0,0
a dog sitting on a bed,6,0,1,2,0,1,1,0
a large yellow and black snake with a long tail,10,0,1,4,4,1,0,0
a clarinet with a black and silver finish,8,1,1,4,2,1,0,0
two old stoneware jars with lids and labels,8,3,1,2,2,1,0,0
a bowl filled with berries and other fruits,8,1,1,4,1,1,1,0
a woman on a balance beam in a gymnasium,9,1,2,3,0,2,0,0
a chainmail head covering with a black background,8,1,1,3,2,1,1,0
a red stocking with a dog on it,8,1,2,3,1,2,0,0
a black cat sitting on a person's lap,9,0,1,2,1,1,1,0
"a camera with a lens, flash and a bag",9,1,1,5,0,1,0,0
a plate of lobsters sitting on a table,8,1,2,3,0,1,1,0
a woman holding a crab at a restaurant,8,1,2,4,0,1,1,0
a mushroom growing on the ground,6,1,1,2,0,1,1,0
a yellow and black fish swimming in the water,9,0,1,3,2,1,1,0
a military vehicle with a large canopy on top,9,1,2,3,2,2,0,0
a pen and ink in a box on a table,10,0,2,4,0,2,0,0
a jellyfish is sitting on top of a glass,9,1,3,4,0,2,1,0
a stuffed animal in a bucket,6,1,1,2,1,1,1,0
a knife with a leather handle and a snake skin,10,0,1,5,0,1,0,0
a knife with a leather sheath,6,1,1,3,0,1,0,0
a knife on a leather sheath,6,1,1,2,0,1,0,0
a knife with a wooden handle and a silver blade,10,0,1,5,2,1,0,0
a knife with a red and black design on it,10,0,2,4,2,2,0,0
a brown dog sitting on a white sheet,8,0,1,2,2,1,1,0
a man in a tuxedo playing a clarinet,8,2,2,3,0,1,1,0
a black beetle with long legs and long antennae,9,2,1,3,3,1,0,0
a baby meerkat laying on the sand,7,1,1,2,0,1,1,0
"a yellow, black and red snake with a black stripe on its head",13,2,2,5,4,2,0,0
a man with a white beard and a grey coat holding a small white dog,15,0,2,6,4,1,1,0
a man kneeling down next to a black bear,9,1,1,3,1,3,1,0
a bottle and a box of baby food,8,0,1,4,0,0,0,0
two crabs fighting in the mud,6,1,1,1,0,1,1,0
an airedale terrier standing in front of a fence,9,2,3,3,0,2,1,0
the collectors album - black,4,2,0,1,1,0,0,0
a red and silver compass with a white background,9,1,1,4,3,1,0,0
a dog standing on the grass with a man holding a leash,12,1,3,5,0,2,2,0
the bear is white,4,0,1,2,1,0,0,0
a man riding a cart pulled by a bull,9,1,2,4,0,1,2,0
a clock with a heart on it,7,0,2,3,0,2,0,0
a website design for a company called racing,8,0,1,3,0,0,2,0
a four poster bed with a red and black cover,10,0,1,4,2,1,0,0
a vintage photo of a tank with a gun on it,11,0,3,5,1,2,0,0
a cat sitting on a ledge,6,1,1,2,0,1,1,0
a black purse with a metal clasp on the handle,10,2,2,4,1,2,0,0
a white printer is sitting in a room with a wooden wall,12,1,3,5,2,2,1,0
a man with a bow and arrow in a field,10,0,2,5,0,2,0,0
a view of the beach and cliffs from a hill,10,1,2,6,0,1,0,0
a person holding a large mushroom in their hands,9,1,2,2,1,1,1,0
a metal scale with two silver bowls on it,9,1,2,2,1,2,0,0
a black monkey sitting in a tree with leaves,9,0,2,3,1,2,1,0
a wooden croquet set with balls and sticks,8,1,1,3,1,1,1,0
a chocolate covered toothbrush with a white handle,8,1,3,3,1,1,1,0
a green bug with yellow wings sitting on a rock,10,0,2,3,2,2,1,0
a fox is curled up in the snow,8,1,1,3,0,2,1,0
a computer monitor on a desk,6,0,1,2,0,1,0,0
"girls volleyball - west central vs west central - july 31, 2012",10,4,0,0,3,0,1,0
a red pen with a red ribbon around it,9,1,2,4,2,2,0,0
a woman in a black dress and brown fur coat,10,0,1,3,2,1,0,0
a white bathroom sink with a gold sunburst mirror,9,1,2,3,1,1,1,0
a brown snake laying on the ground in the grass,10,0,2,3,1,2,1,0
the back view of a woman wearing a white dress,10,0,2,4,2,0,1,0
a rabbit sitting on the ground near a rock,9,0,2,3,0,2,1,0
a turtle with a brown shell sitting on a white surface,11,1,2,4,2,2,1,0
a fly with brown and black wings sitting on a green flower,12,0,2,4,3,2,1,0
a knife and a bullet are on display,8,0,2,4,0,1,0,0
a close up of a chain link fence,8,0,1,3,0,1,0,0
a yellow and blue fish with black stripes,8,1,1,3,3,1,0,0
a group of mushrooms growing on a log,8,1,2,3,0,1,1,0
a large ship in the water,6,0,1,2,1,1,0,0
a large metal bucket,4,0,0,1,1,0,0,0
a white printer with a computer on top of it,10,1,3,4,1,3,0,0
two swords with black handles and black handles,8,3,1,2,2,1,0,0
"great white shark, great white shark, great white shark, great white shark, great white shark,",15,5,0,5,10,0,0,0
a digital electronic device with a green background,8,0,1,3,3,1,0,0
a radiator fan with a black cover on top of it,11,1,3,4,1,3,0,0
various types of screws and screws,6,2,1,3,1,0,0,0
a close up of a fox with its mouth open,10,0,3,5,1,2,0,0
a scooter parked on the side of the road,9,2,2,4,0,1,1,0
three women in black standing next to each other,9,0,2,3,2,3,0,0
a green and white bag with a green handle,9,0,1,4,3,1,0,0
a tiger in the water,5,0,1,2,0,1,0,0
a typewriter and a clock sitting on top of a table,11,1,2,5,0,2,1,0
a mop with a handle and orange yarn,8,2,1,4,0,1,0,0
a pink and yellow mop with a handle,8,1,1,4,2,1,0,0
a red and black soccer shirt with a black trim,10,1,1,4,3,1,0,0
an old typewriter sitting on top of a wooden table,10,1,2,3,2,2,1,0
a close up of a row of black balls,9,0,2,4,1,1,0,0
an elephant standing in the grass with trees in the background,11,0,3,4,0,3,1,0
"a plastic abacus with green, red and white beads",9,3,1,3,4,1,0,0
a small orange whistle with a string around it,9,1,2,4,2,2,0,0
"a set of tools that include a saw, a drill, and a screwdriver",13,3,3,8,0,0,1,0
a black bear in the grass,6,0,1,2,1,1,0,0
two black and white leopards playing together,7,1,1,1,2,0,1,0
a dog sitting on a patio,6,1,1,2,0,1,1,0
a lobster is sitting on a plate with a lemon,10,1,3,5,0,2,1,0
a man holding a crab on a boat,8,1,2,3,0,1,1,0
adidas t-shirt blue,4,2,0,0,0,0,0,1
a military vehicle on the street,6,0,1,2,1,1,0,0
a close up of a monkey with a long nose,10,0,2,5,1,2,0,0
a cheetah walking through the grass in the wild,9,1,2,4,1,2,1,0
a large safe box with a key lock on it,10,0,2,3,3,2,0,0
a wooden plane with a wooden handle and a wooden plane,11,0,1,5,3,1,0,0
a dog with a long mane running in the grass,10,1,2,4,1,2,1,0
a close up of a belt with a buckle,9,1,2,5,0,2,0,0
an old bottle with a label that says master distillery's spirits,12,1,3,4,1,1,1,0
a mop with a handle and a plastic handle,9,1,1,5,1,1,0,0
a package of office supplies including a red and green whistle,11,1,2,5,2,0,1,0
a black and silver pliers with a black handle,9,1,1,4,3,1,0,0
a pair of pliers with black handles,7,2,2,3,1,1,0,0
a man is fixing a fan on a car,9,0,3,4,0,1,1,0
a white bowl with a spoon in it,8,1,2,3,1,2,0,0
a siamese cat with blue eyes,6,1,1,2,2,1,0,0
two people are riding in a sailboat on the water,10,1,3,3,0,2,1,0
two red and yellow machines are parked next to each other,11,1,1,5,3,2,1,0
a gold compass with a ship wheel on top,9,1,2,3,1,2,0,0
a bed with a mosquito net on it,8,1,2,3,1,2,0,0
a computer desk with a keyboard and mouse,8,0,1,4,0,1,1,0
a purple mop with a yellow handle,7,1,1,3,2,1,0,0
a crab with orange spots on its back,8,1,2,3,1,2,0,0
a body of water,4,0,1,2,0,0,0,0
three screws with different sizes and shapes,7,2,1,3,1,1,0,0
a mop with an orange and green cover,8,1,1,4,2,1,0,0
a dirt path,3,0,0,1,0,0,0,0
a black and silver compass with a mirror,8,1,1,4,2,1,0,0
golden screw with different sizes and colors,7,0,1,3,2,1,0,0
a black safe with gold bars inside,7,0,1,2,2,2,0,0
a dog standing in the grass,6,0,1,2,0,1,1,0
a man sitting on a bench,6,0,1,2,0,1,1,0
a purple mop with a green handle and a purple head,11,1,1,5,3,1,0,0
a towel with a flower design on it,8,1,2,3,0,2,0,0
